Artist,Plays,Time
Michael McCann,3047,10911
King Crimson,1481,9103
Pink Floyd,1205,7903
Dire Straits,892,5633
Supertramp,882,4429
Camel,657,4337
Alexander Brandon,897,3647
Tool,404,3375
Mick Gordon,728,3359
Home,925,3012
Gorillaz,754,2895
The Police,756,2870
Rush,447,2287
Yes,215,2057
Muse,364,1623
Radiohead,349,1548
Rage Against the Machine,305,1496
Hans Zimmer,321,1419
Red Hot Chili Peppers,285,1283
Led Zeppelin,244,1242
Stephen Rippy,470,1241
Jethro Tull,79,994
New Order,180,946
Keiki Kobayashi,179,783
Howard Shore,171,749
CoLD SToRAGE,142,680
Christopher Larkin,228,570
Jesper Kyd,130,556
Linkin Park,171,554
Metallica,92,547
Aperture Science Psychoacoustics Laboratory,172,501
The Smashing Pumpkins,114,497
Ludowic,138,457
The Who,75,415
U2,93,402
Genesis,72,401
Beastie Boys,111,346
Junkie XL,58,325
Bill Kiley,114,300
Scorpions,62,295
Kevin McMullan,88,284
Foster the People,70,278
Steve Miller Band,58,272
Pearl Jam,48,259
Toto,57,258
The White Stripes,64,248
Vitalis Eirich,92,233
Green Day,56,214
Gentle Giant,31,210
Eagles,40,198
Sting,48,194
Foreigner,48,194
Collective Soul,38,177
Thin Lizzy,38,171
George Michael,33,166
Robert Prince,75,166
Tom Petty,37,165
Phil Collins,29,162
Mitsuhiro Kitadani,36,160
Steely Dan,27,159
The Cars,41,156
Styx,30,156
Tom Petty and The Heartbreakers,34,154
Ryo Watanabe,61,152
Nirvana,35,150
Cream,29,139
Van Halen,38,136
Ludwig Goransson,52,133
R.E.M.,29,126
Blue Öyster Cult,29,125
The Doors,16,114
Ozzy Osbourne,26,114
The Jimi Hendrix Experience,30,111
Boston,22,110
The Rolling Stones,25,104
Moby,25,103
Joy Division,29,102
DJ Electrohead,29,101
The Clash,25,92
Aerosmith,19,83
Lenny Kravitz,22,81
Foo Fighters,19,81
Journey,19,74
Black Sabbath,11,74
The Prodigy,15,73
Whitesnake,15,73
Loverboy,19,69
Bon Jovi,16,67
Todd Masten,21,65
Michael Jackson,13,62
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",29,61
Oasis,14,60
Daft Punk,16,59
Stone Temple Pilots,13,59
Asia,14,59
Smash Mouth,17,58
"Bill Kiley, Justin Stander",25,55
Bad Company,11,52
Nazareth,13,52
C418,14,52
ZZ Top,12,51
The Animals,11,49
"Tunç Çakır, LudoWic",16,46
Lynyrd Skynyrd,5,45
Amon Tobin,9,45
Bryan Adams,12,43
Nine Inch Nails,7,42
Don McLean,5,42
Deep Purple,7,39
Dio,9,39
UK,7,38
Tears for Fears,9,37
Kansas,7,37
Navie D,17,36
Raphael Colantonio,14,35
Ratt,8,35
Living Colour,7,34
Nick Arundel,14,33
Kids Fly,8,32
Danny Elfman,9,31
Alice in Chains,6,29
Guns N' Roses,3,26
System of a Down,7,24
Audioslave,5,24
Billy Squier,5,23
Soundgarden,5,22
Zack Bower,8,22
Propellerheads,5,20
Coldplay,4,20
Logic,6,20
Clinton Shorter,18,19
Five Finger Death Punch,6,19
Mötley Crüe,4,18
Kenta Nagata,10,17
David Bowie,4,17
Kazumi Totaka,8,15
The Offspring,5,15
Matt Piersall,7,12
nounverber,3,12
Marco Beltrami and Buck Sanders,2,11
The Beatles,5,9
Jack Wall,6,9
Ryo Nagamatsu,6,8
David Buckley,3,7
Ben Crossbones,2,7
Metrik,2,7
Ram Jam,2,7
Derek and the Dominos,1,7
Brad Fiedel,3,6
Micheal Giaccino,2,6
Vangelis,2,6
Ennio Morricone,2,5
Joan Jett and the Blackhearts,2,5
Chamillionaire,1,5
Eminem,1,5
Samuel Barber,1,5
The Guess Who,1,5
Sam Hulick,3,4
"Asuka Ohta, Ryo Nagamatsu",4,4
Starship,1,4
Survivor,1,4
TheOfficialLobst,2,4
Christopher Tin,1,3
Eddie Money,1,3
John Paseano,1,3
John Williams,1,3
Henry Mancini,1,2
Noisecream,1,2
Jesse Harlin,1,1
Ludvig Forssell,1,1
Martin O'Donnell & Michael Salvatori,0,0
Weird Al  Yankovic,0,0
AC DC,0,0
Code Manta,0,0
Ian Livingstone & Phonat,0,0
Apeture Science Psychoacoustic Labratory,0,0
Jack Wall & Sam Hulick,0,0
King Gizzard & The Lizard Wizard,0,0
King Gizzard And The Lizard Wizard,0,0
,0,0
Hans Zimmer & James Newton Howard,0,0
Hans Zimmer; Benjamin Wallfisch,0,0
Hom,0,0
Ilan Eshkeri,0,0
John Paesano,0,0
Justin Stander,1,0
Paul Lipson Lennie Moore Tom Salta Brian Trifon Brian Lee White Martin O'Donnell Michael Salvatori,0,0
Richard Jacques Jack Wall & Sam Hulick,0,0
Steve Buick,0,0
