Artist,Tracks,Plays,Time
King Crimson,Epitaph,211,1867.35
King Crimson,The Court of the Crimson King,189,1773.45
Michael McCann,Versalife,185,1433.75
King Crimson,21st Century Schizoid Man,189,1392.3
King Crimson,I Talk to the Wind,193,1154.783
Pink Floyd,Dogs,66,1127.5
Supertramp,Rudy,135,992.25
King Crimson,Cat Food,201,984.9
Michael McCann,Sandstorm,190,918.333
Pink Floyd,Echoes,39,917.8
Camel,Lady Fantasy: Encounter / Smiles for You / Lady Fantasy,68,867.0
King Crimson,Starless,191,859.5
Dire Straits,Brothers in Arms,117,820.95
Michael McCann,Prague,184,766.667
Michael McCann,Opening Credits,339,762.75
Gorillaz,Feel Good Inc.,207,762.45
Supertramp,Crime of the Century,133,742.583
Jethro Tull,"Thick as a Brick, Part I",31,700.6
Supertramp,School,124,696.467
Yes,Close to the Edge,36,676.2
Michael McCann,The UTULEK Complex Golem City,143,631.583
Michael McCann,Main Menu Theme,172,622.067
Michael McCann,Embrace What You Have Become Trailer,177,616.55
Tool,Lateralus,64,601.6
Dire Straits,Money for Nothing,70,590.333
Yes,Siberian Khatru,66,588.5
Pink Floyd,Pigs (Three Different Ones),51,582.25
Pink Floyd,"Shine on You Crazy Diamond, Pts. 1-5",43,581.217
Supertramp,Bloody Well Right,126,569.1
Michael McCann,After the Crash,139,562.95
Camel,Nimrodel / The Procession / The White Rider,60,558.0
Michael McCann,Icarus - Main Theme,145,534.083
Tool,Reflection,47,522.483
Supertramp,The Logical Song,126,520.8
Camel,Lunar Sea,54,497.7
Dire Straits,Private Investigations,72,487.2
Tool,Pneuma,41,486.533
Radiohead,No Surprises,127,482.6
King Crimson,Moonchild,195,471.25
Michael McCann,First and Last,145,468.833
Pink Floyd,Sheep,45,464.25
Mick Gordon,BFG Division,55,463.833
Michael McCann,Apex Towers,175,460.833
Yes,Heart of the Sunrise,39,446.55
Tool,Fear Inoculum,43,445.05
Dire Straits,Tunnel of Love,54,439.2
Home,Resonance,124,438.133
King Crimson,Frame by Frame,84,434.0
Camel,Song Within a Song,58,417.6
Alexander Brandon,Home Base (UNATCO),41,416.15
Pink Floyd,Welcome to the Machine,54,405.9
Home,We're Finally Landing,89,403.467
Dire Straits,Sultans of Swing,69,401.35
Dire Straits,Your Latest Trick,59,386.45
Michael McCann,Sewers,89,384.183
Camel,Freefall,64,377.6
Keiki Kobayashi,Daredevil,70,374.5
Michael McCann,Barrett Boss Fight,128,360.533
Home,Decay,85,355.583
Pink Floyd,Wish You Were Here,63,350.7
Gorillaz,Clint Eastwood,61,345.667
New Order,Age of Consent,65,342.333
Camel,Air Born,68,341.133
Michael McCann,Singapore Ambient (Part 2),141,338.4
Michael McCann,The Mole,141,338.4
Tool,Parabol(a),37,337.933
Mick Gordon,The Only Thing They Fear Is You,49,336.467
Dire Straits,On Every Street,65,329.333
Howard Shore,Into the West,56,323.867
Radiohead,Karma Police,74,321.9
Pink Floyd,Time,45,319.5
Radiohead,Paranoid Android,50,319.167
Camel,Dunkirk,58,314.167
Tool,Schism,46,312.033
Pink Floyd,"Shine on You Crazy Diamond, Pts. 6-9",25,311.25
Supertramp,Breakfast in America,117,308.1
Rush,Freewill,57,307.8
The Police,Bring On The Night,72,307.2
Martin O'Donnell &amp; Michael Salvatori,Cloaked in Blackness,82,300.667
Dire Straits,So Far Away,57,296.4
Michael McCann,The UTULEK Complex: Golem City,67,295.917
Mick Gordon,Harbinger,41,294.517
Supertramp,Goodbye Stranger,50,290.833
New Order,Bizarre Love Triangle,66,288.2
Dire Straits,Romeo &amp; Juliet,48,283.2
Michael McCann,Detroit City Ambient (Part 1),138,282.9
Foster the People,Pumped Up Kicks,70,278.833
Michael McCann,TF29,65,278.417
Alexander Brandon,UNATCO,64,276.267
Rage Against the Machine,Wake Up,45,273.0
Tool,Disposition,57,271.7
Pink Floyd,Money,40,268.667
Dire Straits,Why Worry,31,263.5
Mick Gordon,SkullHacker,36,261.0
Pink Floyd,Us and Them,34,258.4
Gorillaz,On Melancholy Hill,66,256.3
Steve Miller Band,Fly Like an Eagle,54,255.6
Gorillaz,Empire Ants,54,254.7
Yes,Owner of a Lonely Heart,56,252.0
Pink Floyd,Have a Cigar,49,250.717
Led Zeppelin,The Battle of Evermore,42,245.7
Dire Straits,Love Over Gold,39,245.05
Camel,Supertwister,67,226.683
&quot;Weird Al&quot; Yankovic,It’s All About the Pentiums,63,224.7
Rush,Red Barchetta,36,222.6
Rush,Working Man,31,222.167
Red Hot Chili Peppers,Under the Bridge,50,220.0
Muse,Hysteria,58,219.433
Dire Straits,Industrial Disease,37,215.833
Muse,Knights of Cydonia,35,213.5
Gentle Giant,Proclamation,31,210.283
Mick Gordon,Cultist Base,38,210.267
New Order,Blue Monday,28,210.0
Gorillaz,Tomorrow Comes Today,65,209.083
Mick Gordon,Hellwalker,41,208.417
Genesis,That's All,47,206.8
Toto,Africa,42,206.5
Pink Floyd,The Great Gig in the Sky,43,204.25
Rage Against the Machine,Take the Power Back,36,202.2
Tool,Forty Six &amp; 2,33,200.2
Beastie Boys,Sabotage,67,198.767
Junkie XL,Bombers Over Ibiza  (Junkie XL Remix),34,198.333
Scorpions,Wind of Change,38,198.233
The White Stripes,Seven Nation Army,51,197.2
The Smashing Pumpkins,1979,44,195.067
Rage Against the Machine,Bullet in the Head,37,190.55
Muse,Assassin,54,189.9
Mick Gordon,Demonic Corruption,48,189.6
Dire Straits,Ride Across the River,27,188.1
Rush,2112: I. Overture / II. The Temples of Syrinx / III. Discovery / IV. Presentation / V. Oracle: the Dream / VI. Soliloquy / VII. Grand Finale,9,185.55
Martin O'Donnell &amp; Michael Salvatori,Moon Over Mombasa Part 2,156,184.6
Linkin Park,Points of Authority,55,183.333
Martin O'Donnell &amp; Michael Salvatori,Jeopardy,65,182.0
Hans Zimmer,Dust,32,181.867
Red Hot Chili Peppers,The Zephyr Song,47,181.733
Pink Floyd,Comfortably Numb,28,178.267
Rush,A Farewell to Kings,30,177.0
Radiohead,Airbag,37,174.517
Thin Lizzy,The Boys Are Back in Town,38,171.0
Home,Billiards,58,170.133
Red Hot Chili Peppers,Can't Stop,38,169.733
Rush,Subdivisions,30,169.0
Tool,Sober,33,168.3
Dire Straits,Walk of Life,40,168.0
U2,Beautiful Day,41,167.417
Mick Gordon,Rip &amp; Tear,39,167.05
Camel,Another Night,24,166.8
George Michael,Careless Whisper,33,166.1
Mick Gordon,The Super Gore Nest,32,165.867
Gorillaz,O Green World,36,162.6
Phil Collins,In the Air Tonight,29,162.4
Alexander Brandon,Night Assignment (New York Streets),38,162.133
Gorillaz,Every Planet We Reach Is Dead,33,161.15
Supertramp,Take the Long Way Home,31,160.167
Steely Dan,Do It Again,27,159.75
Ludowic,Overdose,36,159.6
Stephen Rippy,Shamburger,47,159.017
The Police,Does Everyone Stare,41,158.533
Ludowic,Katana Zero,27,156.15
Red Hot Chili Peppers,Snow (Hey Oh),28,155.867
Tom Petty and The Heartbreakers,Mary Jane's Last Dance,34,154.7
Muse,Citizen Erased,21,153.65
Genesis,Firth of Fifth,16,153.067
Mitsuhiro Kitadani,444,33,152.35
Pearl Jam,Black,27,152.1
Home,Come Back Down,31,151.383
Muse,Uprising,30,151.0
Red Hot Chili Peppers,Dark Necessities,30,151.0
Alexander Brandon,Return to Liberty Island (Liberty Island),32,150.933
AC/DC,Back in Black,35,148.75
Eagles,One of These Nights,32,146.667
Jethro Tull,Locomotive Breath,33,146.3
The Police,Message in a Bottle,30,145.5
Gorillaz,Stylo,32,144.0
Pink Floyd,"Another Brick in the Wall, Pt. 2",36,142.8
Rage Against the Machine,Know Your Enemy,29,142.583
