Artist,Plays
Michael McCann,3026
King Crimson,2950
Pink Floyd,2057
The Police,1672
Dire Straits,1413
Mick Gordon,1133
Alexander Brandon,1043
Home,927
Martin O'Donnell &amp; Michael Salvatori,864
Supertramp,860
Tool,833
Hans Zimmer,786
Gorillaz,747
Camel,657
Rush,620
Red Hot Chili Peppers,540
Stephen Rippy,475
Muse,453
Rage Against the Machine,445
Beastie Boys,442
Radiohead,387
Linkin Park,349
Nick Arundel,322
Led Zeppelin,289
Yes,274
Howard Shore,259
Foster the People,238
Christopher Larkin,225
&quot;Weird Al&quot; Yankovic,224
U2,203
Robert Prince,198
Metallica,193
New Order,190
Keiki Kobayashi,177
Aperture Science Psychoacoustics Laboratory,170
The Smashing Pumpkins,140
CoLD SToRAGE,139
Ludowick,139
AC/DC,137
Kids Fly,131
Jesper Kyd,130
Five Finger Death Punch,123
Bill Kiley,113
Sting,106
Jethro Tull,100
The Who,99
Vitalis Eirich,92
Genesis,90
Scorpions,90
Foreigner,89
