Artist,Plays,Time
King Crimson,2954,18826
Pink Floyd,2085,12534
Michael McCann,3067,10986
Dire Straits,1427,8958
The Police,1689,6497
Tool,836,6471
Mick Gordon,1141,5594
Supertramp,894,4484
Camel,657,4337
Alexander Brandon,1053,4186
Hans Zimmer,789,3773
Rush,624,3122
Home,928,3023
Gorillaz,762,2906
Red Hot Chili Peppers,544,2556
Yes,276,2391
Rage Against the Machine,448,2190
Muse,456,2009
Martin O'Donnell & Michael Salvatori,874,1944
Radiohead,399,1748
Beastie Boys,449,1495
Led Zeppelin,288,1447
Stephen Rippy,492,1267
Metallica,194,1197
Howard Shore,255,1140
Linkin Park,352,1117
Jethro Tull,102,1100
New Order,190,1013
Foster the People,242,963
Nick Arundel,336,934
U2,211,902
Weird Al  Yankovic,227,809
Keiki Kobayashi,179,770
Ludwig Goransson,183,770
CoLD SToRAGE,142,677
The Smashing Pumpkins,143,596
Christopher Larkin,228,570
The Who,100,567
Jesper Kyd,130,556
AC DC,136,555
Kids Fly,132,539
Gentle Giant,75,508
Aperture Science Psychoacoustics Laboratory,172,498
Robert Prince,199,486
Ludowic,139,458
Genesis,90,454
Scorpions,97,454
Five Finger Death Punch,123,448
Eagles,93,441
Sting,107,440
Pearl Jam,78,420
Tom Petty and The Heartbreakers,91,413
Ozzy Osbourne,85,389
Foreigner,89,369
Amon Tobin,68,363
Nine Inch Nails,56,340
Junkie XL,58,325
Toto,70,318
The White Stripes,80,311
Bill Kiley,114,299
Collective Soul,63,297
Kevin McMullan,88,284
The Rolling Stones,64,276
Steve Miller Band,58,272
Foo Fighters,57,249
Green Day,64,249
Nirvana,57,249
Cream,51,242
Vitalis Eirich,92,233
Blue Öyster Cult,49,216
Van Halen,59,212
Styx,39,195
David Buckley,81,191
Phil Collins,34,190
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",88,186
Thin Lizzy,38,171
George Michael,33,166
Black Sabbath,24,162
Mitsuhiro Kitadani,36,160
Asia,37,160
Steely Dan,27,159
Boston,29,158
The Doors,22,157
The Cars,41,156
Ryo Watanabe,61,152
Kenta Nagata,70,151
Stone Temple Pilots,38,148
The Animals,32,144
Soundgarden,32,138
Aerosmith,31,133
John Paseano,38,130
Joy Division,37,130
R.E.M.,29,126
Whitesnake,25,120
Michael Jackson,25,120
Ennio Morricone,37,119
Brad Fiedel,44,114
Nazareth,28,113
The Jimi Hendrix Experience,30,111
Bon Jovi,25,107
Moby,25,103
DJ Electrohead,29,101
Journey,23,96
The Clash,25,92
ZZ Top,22,89
Smash Mouth,25,85
Tom Petty,20,85
Living Colour,17,83
Dio,19,82
Lynyrd Skynyrd,9,82
Alice in Chains,15,82
Lenny Kravitz,22,81
Guns N' Roses,9,80
Starship,15,74
Audioslave,15,73
The Prodigy,15,73
Deep Purple,13,73
Loverboy,19,69
Todd Masten,21,65
Kansas,12,64
Coldplay,12,61
UK,11,61
Oasis,14,60
Daft Punk,16,59
David Bowie,13,56
"Bill Kiley, Justin Stander",25,55
Danny Elfman,16,55
Bad Company,11,52
C418,14,52
Kazumi Totaka,25,49
Ratt,11,48
John Williams,14,47
"Tunç Çakır, LudoWic",16,46
Tears for Fears,11,46
System of a Down,13,45
Bryan Adams,12,43
Billy Squier,9,42
Don McLean,5,42
Marco Beltrami and Buck Sanders,7,39
Raphael Colantonio,14,35
Samuel Barber,6,35
Navie D,17,30
Mötley Crüe,6,28
Ryo Nagamatsu,16,23
The Beatles,12,23
Code Manta,5,23
King Gizzard & The Lizard Wizard,2,21
"Asuka Ohta, Ryo Nagamatsu",18,20
Propellerheads,5,20
Zack Bower,8,20
Clinton Shorter,18,19
Metrik,4,15
The Offspring,5,15
Ian Livingstone & Phonat,7,14
Micheal Giaccino,4,13
Matt Piersall,7,12
nounverber,3,12
Jack Wall,6,9
Survivor,2,8
Christopher Tin,2,7
Ram Jam,2,7
Derek and the Dominos,1,7
Joan Jett and the Blackhearts,2,5
,5,5
Chamillionaire,1,5
Eminem,1,5
Darbarfestival,4,4
Sam Hulick,3,4
Stu Phillips,3,4
Jack Wall & Sam Hulick,2,4
TheOfficialLobst,2,4
Mick Gordon & Chad Mossholder,3,3
Hans Zimmer; Benjamin Wallfisch,2,2
Henry Mancini,1,2
Mick Gordon - Topic,2,2
Noisecream,1,2
Richard Jacques Jack Wall & Sam Hulick,2,2
Hom,1,1
Ilan Eshkeri,1,1
Jesse Harlin,1,1
Ludvig Forssell,1,1
Paul Lipson Lennie Moore Tom Salta Brian Trifon Brian Lee White Martin O'Donnell Michael Salvatori,1,1
Forty Six & 2,0,0
Apeture Science Psychoacoustic Labratory,0,0
King Gizzard And The Lizard Wizard,0,0
CODE MANTA - Topic,0,0
ghatamudupa,0,0
Hans Zimmer & James Newton Howard,0,0
ilikesmecookies,0,0
John Paesano,0,0
Justin Stander,1,0
Numb,0,0
Steve Buick,0,0
Yes + Pink Floyd,0,0
