Artist,Plays,Time
King Crimson,2951,18805
Pink Floyd,2072,12465
Michael McCann,3047,10911
Dire Straits,1418,8919
Tool,833,6488
The Police,1683,6472
Mick Gordon,1137,5580
Supertramp,882,4429
Camel,657,4337
Alexander Brandon,1048,4177
Hans Zimmer,781,3769
Rush,623,3126
Home,925,3012
Gorillaz,754,2895
Red Hot Chili Peppers,543,2551
Yes,275,2389
Rage Against the Machine,446,2178
Muse,455,2005
Radiohead,390,1711
Beastie Boys,445,1482
Led Zeppelin,287,1446
Stephen Rippy,473,1247
Metallica,194,1197
Howard Shore,253,1138
Linkin Park,347,1101
Jethro Tull,102,1100
New Order,190,1013
Foster the People,240,956
Nick Arundel,329,916
U2,208,890
Keiki Kobayashi,179,783
CoLD SToRAGE,142,680
The Smashing Pumpkins,143,610
Christopher Larkin,228,570
The Who,100,567
Jesper Kyd,130,556
Kids Fly,131,534
Gentle Giant,74,501
Aperture Science Psychoacoustics Laboratory,172,501
Robert Prince,199,486
Genesis,90,473
Ludowic,138,457
Five Finger Death Punch,123,448
Sting,107,440
Eagles,91,432
Scorpions,91,431
Pearl Jam,78,420
Ozzy Osbourne,85,389
Foreigner,89,369
Amon Tobin,68,363
Nine Inch Nails,56,340
Junkie XL,58,325
Toto,70,318
The White Stripes,80,311
Bill Kiley,114,300
Collective Soul,63,297
Kevin McMullan,88,284
The Rolling Stones,64,276
Steve Miller Band,58,272
Tom Petty and The Heartbreakers,57,259
Foo Fighters,57,249
Green Day,64,249
Nirvana,57,249
Cream,51,242
Tom Petty,54,239
Vitalis Eirich,92,233
Blue Öyster Cult,49,216
Van Halen,59,212
Styx,39,195
Phil Collins,34,190
David Buckley,80,189
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",88,186
Thin Lizzy,38,171
George Michael,33,166
Black Sabbath,24,162
Mitsuhiro Kitadani,36,160
Asia,37,160
Steely Dan,27,159
Boston,29,158
The Doors,22,157
The Cars,41,156
Ryo Watanabe,61,152
Stone Temple Pilots,38,152
The Animals,32,144
Soundgarden,32,138
Ludwig Goransson,54,136
Aerosmith,31,135
John Paseano,38,130
Joy Division,37,130
R.E.M.,29,126
Whitesnake,25,120
Michael Jackson,25,120
Ennio Morricone,37,119
Nazareth,28,113
The Jimi Hendrix Experience,30,111
Brad Fiedel,42,109
Bon Jovi,25,107
Moby,25,103
DJ Electrohead,29,101
Journey,23,96
The Clash,25,92
ZZ Top,22,89
Smash Mouth,25,85
Living Colour,17,83
Dio,19,82
Lynyrd Skynyrd,9,82
Alice in Chains,15,82
Lenny Kravitz,22,81
Guns N' Roses,9,80
Starship,15,74
Audioslave,15,73
The Prodigy,15,73
Deep Purple,13,73
Loverboy,19,69
Todd Masten,21,65
Kansas,12,64
Coldplay,12,61
UK,11,61
Oasis,14,60
Daft Punk,16,59
Kenta Nagata,32,58
David Bowie,13,56
"Bill Kiley, Justin Stander",25,55
Danny Elfman,16,55
Bad Company,11,52
C418,14,52
Kazumi Totaka,25,49
Ratt,11,48
John Williams,14,48
"Tunç Çakır, LudoWic",16,46
Tears for Fears,11,46
Bryan Adams,12,43
System of a Down,12,42
Billy Squier,9,42
Don McLean,5,42
Marco Beltrami and Buck Sanders,7,39
Navie D,17,36
Raphael Colantonio,14,35
Samuel Barber,6,35
Mötley Crüe,6,28
Ryo Nagamatsu,16,23
The Beatles,12,23
Zack Bower,8,22
"Asuka Ohta, Ryo Nagamatsu",18,20
Propellerheads,5,20
Logic,6,20
Clinton Shorter,18,19
Metrik,4,15
The Offspring,5,15
Micheal Giaccino,4,13
Matt Piersall,7,12
nounverber,3,12
Jack Wall,6,9
Ben Crossbones,2,7
Christopher Tin,2,7
Ram Jam,2,7
Derek and the Dominos,1,7
Vangelis,2,6
Joan Jett and the Blackhearts,2,5
Chamillionaire,1,5
Eminem,1,5
The Guess Who,1,5
Sam Hulick,3,4
Survivor,1,4
TheOfficialLobst,2,4
Eddie Money,1,3
Henry Mancini,1,2
Noisecream,1,2
Jesse Harlin,1,1
Ludvig Forssell,1,1
Martin O'Donnell & Michael Salvatori,0,0
Weird Al  Yankovic,0,0
AC DC,0,0
Darbarfestival,0,0
Code Manta,0,0
Forty Six & 2,0,0
Ian Livingstone & Phonat,0,0
Apeture Science Psychoacoustic Labratory,0,0
Jack Wall & Sam Hulick,0,0
King Gizzard & The Lizard Wizard,0,0
King Gizzard And The Lizard Wizard,0,0
Mick Gordon - Topic,0,0
Mick Gordon & Chad Mossholder,0,0
,0,0
CODE MANTA - Topic,0,0
ghatamudupa,0,0
Hans Zimmer & James Newton Howard,0,0
Hans Zimmer; Benjamin Wallfisch,0,0
Hom,0,0
Ilan Eshkeri,0,0
ilikesmecookies,0,0
John Paesano,0,0
Justin Stander,1,0
Numb,0,0
Paul Lipson Lennie Moore Tom Salta Brian Trifon Brian Lee White Martin O'Donnell Michael Salvatori,0,0
Richard Jacques Jack Wall & Sam Hulick,0,0
Steve Buick,0,0
Yes + Pink Floyd,0,0
