Artist,Tracks,Plays,Time
Artist,Tracks,Plays
King Crimson,Epitaph,451,3991.35
King Crimson,21st Century Schizoid Man,435,3204.5
King Crimson,The Court of the Crimson King,434,4072.367
King Crimson,Starless,393,1768.5
King Crimson,I Talk to the Wind,363,2171.95
King Crimson,Moonchild,350,845.833
Michael McCann,Opening Credits,337,758.25
King Crimson,Cat Food,328,1607.2
Foster the People,Pumped Up Kicks,239,952.017
Dire Straits,Brothers in Arms,214,1501.567
Gorillaz,Feel Good Inc.,207,762.45
Michael McCann,Sandstorm,190,918.333
Michael McCann,Prague,184,766.667
Michael McCann,Versalife,183,1418.25
The Police,Bring On The Night,182,776.533
Michael McCann,Embrace What You Have Become Trailer,177,616.55
Beastie Boys,Intergalactic,176,616.0
Michael McCann,Apex Towers,175,460.833
Michael McCann,Main Menu Theme,172,622.067
Pink Floyd,Time,155,1100.5
Beastie Boys,Sabotage,154,456.867
Martin O'Donnell &amp; Michael Salvatori,Moon Over Mombasa Part 2,154,182.233
Tool,Schism,149,1010.717
Dire Straits,Your Latest Trick,148,969.4
The Police,Reggatta De Blanc,147,455.7
Michael McCann,First and Last,145,468.833
Michael McCann,Icarus - Main Theme,145,534.083
Michael McCann,The UTULEK Complex Golem City,143,631.583
Pink Floyd,Wish You Were Here,143,796.033
Michael McCann,Singapore Ambient (Part 2),141,338.4
Michael McCann,The Mole,141,338.4
Michael McCann,After the Crash,138,558.9
Dire Straits,On Every Street,136,689.067
Michael McCann,Detroit City Ambient (Part 1),136,278.8
Supertramp,Rudy,135,992.25
Supertramp,Crime of the Century,132,737.0
Kids Fly,Ensemble Dissonance,131,534.917
Tool,Lateralus,128,1203.2
Michael McCann,Barrett Boss Fight,127,357.717
Mick Gordon,BFG Division,126,1062.6
Radiohead,No Surprises,126,478.8
Supertramp,Bloody Well Right,126,569.1
Supertramp,School,124,696.467
Supertramp,The Logical Song,124,512.533
Home,Resonance,123,434.6
Pink Floyd,The Great Gig in the Sky,119,565.25
Red Hot Chili Peppers,Dark Necessities,119,598.967
Mick Gordon,At Doom's Gate,117,136.5
Mick Gordon,Rip &amp; Tear,117,501.15
Supertramp,Breakfast in America,117,308.1
The Police,Hungry For You (J'Aurais Toujours Faim De Toi),117,335.4
Pink Floyd,Money,116,779.133
Dire Straits,Private Investigations,114,771.4
Tool,Parabol(a),112,1022.933
The Police,Does Everyone Stare,111,429.2
The Police,The Bed's Too Big Without You,110,487.667
Alexander Brandon,UNATCO,105,453.25
Pink Floyd,Breathe,105,288.75
